,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,571982367.0,570811674.0,575464682.0,574159575.0
Share Issued,571982367.0,570811674.0,575464682.0,574159575.0
Net Debt,38700000.0,324900000.0,153800000.0,159300000.0
Total Debt,535000000.0,802100000.0,636800000.0,650100000.0
Tangible Book Value,3348800000.0,3163200000.0,3042200000.0,2733200000.0
Invested Capital,3608800000.0,3718200000.0,3432200000.0,3138200000.0
Working Capital,2359600000.0,2335000000.0,2174400000.0,1886900000.0
Net Tangible Assets,3348800000.0,3163200000.0,3042200000.0,2733200000.0
Capital Lease Obligations,275000000.0,247100000.0,246800000.0,245100000.0
Common Stock Equity,3348800000.0,3163200000.0,3042200000.0,2733200000.0
Total Capitalization,3548800000.0,3516400000.0,3372200000.0,3098200000.0
Total Equity Gross Minority Interest,3348800000.0,3163200000.0,3042200000.0,2733200000.0
Stockholders Equity,3348800000.0,3163200000.0,3042200000.0,2733200000.0
Gains Losses Not Affecting Retained Earnings,-54800000.0,-64800000.0,-30700000.0,-21200000.0
Other Equity Adjustments,-54800000.0,-64800000.0,-30700000.0,-21200000.0
Retained Earnings,3356900000.0,3218700000.0,2970900000.0,2689600000.0
Additional Paid In Capital,41000000.0,3600000.0,96200000.0,59100000.0
Capital Stock,5700000.0,5700000.0,5800000.0,5700000.0
Common Stock,5700000.0,5700000.0,5800000.0,5700000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1114100000.0,1385400000.0,1256800000.0,1231500000.0
Total Non Current Liabilities Net Minority Interest,452800000.0,595600000.0,574600000.0,618800000.0
Other Non Current Liabilities,1000000.0,3500000.0,,
Non Current Deferred Liabilities,73000000.0,83700000.0,88600000.0,102300000.0
Non Current Deferred Taxes Liabilities,73000000.0,83700000.0,88600000.0,102300000.0
Long Term Debt And Capital Lease Obligation,378800000.0,508400000.0,486000000.0,516500000.0
Long Term Capital Lease Obligation,178800000.0,155200000.0,156000000.0,151500000.0
Long Term Debt,200000000.0,353200000.0,330000000.0,365000000.0
Current Liabilities,661300000.0,789800000.0,682200000.0,612700000.0
Current Debt And Capital Lease Obligation,156200000.0,293700000.0,150800000.0,133600000.0
Current Capital Lease Obligation,96200000.0,91900000.0,90800000.0,93600000.0
Current Debt,60000000.0,201800000.0,60000000.0,40000000.0
Other Current Borrowings,60000000.0,201800000.0,60000000.0,40000000.0
Pensionand Other Post Retirement Benefit Plans Current,55400000.0,54800000.0,54400000.0,38500000.0
Current Provisions,40100000.0,40400000.0,35700000.0,41000000.0
Payables And Accrued Expenses,409600000.0,400900000.0,441300000.0,399600000.0
Current Accrued Expenses,109400000.0,105600000.0,116800000.0,138300000.0
Payables,300200000.0,295300000.0,324500000.0,261300000.0
Total Tax Payable,36100000.0,40300000.0,91400000.0,54300000.0
Accounts Payable,264100000.0,255000000.0,233100000.0,207000000.0
Total Assets,4462900000.0,4548600000.0,4299000000.0,3964700000.0
Total Non Current Assets,1442000000.0,1423800000.0,1442400000.0,1465100000.0
Other Non Current Assets,160700000.0,170800000.0,180900000.0,191400000.0
Net PPE,1281300000.0,1253000000.0,1261500000.0,1273700000.0
Accumulated Depreciation,-1425500000.0,-1301400000.0,-1178000000.0,-1053900000.0
Gross PPE,2706800000.0,2554400000.0,2439500000.0,2327600000.0
Construction In Progress,107800000.0,96000000.0,72700000.0,99000000.0
Other Properties,1908400000.0,1796000000.0,1720000000.0,1639000000.0
Machinery Furniture Equipment,98300000.0,85700000.0,86600000.0,87300000.0
Buildings And Improvements,525100000.0,509200000.0,501900000.0,450400000.0
Land And Improvements,67200000.0,67500000.0,58300000.0,51900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3020900000.0,3124800000.0,2856600000.0,2499600000.0
Other Current Assets,171800000.0,165400000.0,188100000.0,140300000.0
Prepaid Assets,17500000.0,8100000.0,8500000.0,6700000.0
Inventory,1522700000.0,1708000000.0,1523600000.0,1337500000.0
Receivables,1087600000.0,1013200000.0,900200000.0,769400000.0
Accounts Receivable,1087600000.0,1013200000.0,900200000.0,769400000.0
Allowance For Doubtful Accounts Receivable,-6400000.0,-8300000.0,-12000000.0,-12300000.0
Gross Accounts Receivable,1094000000.0,1021500000.0,912200000.0,781700000.0
Cash Cash Equivalents And Short Term Investments,221300000.0,230100000.0,236200000.0,245700000.0
Cash And Cash Equivalents,221300000.0,230100000.0,236200000.0,245700000.0
