,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,1760451.0,1774551.0,1758961.0,1723867.0,
Ordinary Shares Number,564241181.0,490508937.0,447239477.0,417400602.0,
Share Issued,566001632.0,492283488.0,448998438.0,419124469.0,
Net Debt,13741903000.0,13916407000.0,13861689000.0,12253674000.0,
Total Debt,16118779000.0,14963912000.0,14676898000.0,14216986000.0,
Tangible Book Value,25336055000.0,20226493000.0,17567680000.0,15904398000.0,
Invested Capital,41139925000.0,34842902000.0,31766955000.0,29771439000.0,
Working Capital,3793066000.0,1908055000.0,1244002000.0,2814760000.0,
Net Tangible Assets,25336055000.0,20226493000.0,17567680000.0,15904398000.0,
Capital Lease Obligations,383230000.0,415824000.0,545944000.0,418266000.0,
Common Stock Equity,25404376000.0,20294814000.0,17636001000.0,15972719000.0,
Total Capitalization,41139925000.0,34842902000.0,31442020000.0,29771439000.0,
Total Equity Gross Minority Interest,26371727000.0,21393996000.0,18997873000.0,17225062000.0,
Minority Interest,967351000.0,1099182000.0,1361872000.0,1252343000.0,
Stockholders Equity,25404376000.0,20294814000.0,17636001000.0,15972719000.0,
Other Equity Interest,,,,,12000.0
Gains Losses Not Affecting Retained Earnings,-163160000.0,-119707000.0,-121316000.0,-148504000.0,
Other Equity Adjustments,-163160000.0,-119707000.0,-121316000.0,-148504000.0,
Treasury Stock,111578000.0,111001000.0,107750000.0,104490000.0,
Retained Earnings,-7628729000.0,-6709147000.0,-5717179000.0,-5016123000.0,
Additional Paid In Capital,32741949000.0,26742750000.0,23133641000.0,20823145000.0,
Capital Stock,565894000.0,491919000.0,448605000.0,418691000.0,
Common Stock,565894000.0,491919000.0,448605000.0,418691000.0,
Preferred Stock,,,,,0.0
Total Liabilities Net Minority Interest,17640439000.0,16499237000.0,15912452000.0,15258580000.0,
Total Non Current Liabilities Net Minority Interest,16540517000.0,15331145000.0,14571922000.0,14635828000.0,
Other Non Current Liabilities,325715000.0,311506000.0,180663000.0,418842000.0,
Preferred Securities Outside Stock Equity,,,,343490000.0,475877000.0
Derivative Product Liabilities,96023000.0,55727000.0,39296000.0,,
Long Term Debt And Capital Lease Obligation,16118779000.0,14963912000.0,14351963000.0,14216986000.0,
Long Term Capital Lease Obligation,383230000.0,415824000.0,545944000.0,418266000.0,
Long Term Debt,15735549000.0,14548088000.0,13806019000.0,13798720000.0,
Current Liabilities,1099922000.0,1168092000.0,1340530000.0,622752000.0,
Current Deferred Liabilities,374545000.0,432941000.0,335891000.0,115411000.0,
Current Deferred Revenue,374545000.0,432941000.0,335891000.0,115411000.0,
Current Debt And Capital Lease Obligation,,,324935000.0,,1587597000.0
Current Debt,,,324935000.0,,1587597000.0
Line Of Credit,0.0,0.0,324935000.0,0.0,
Payables And Accrued Expenses,725377000.0,735151000.0,679704000.0,507341000.0,
Current Accrued Expenses,422156000.0,374398000.0,387893000.0,305833000.0,
Interest Payable,124210000.0,117741000.0,111157000.0,112202000.0,
Payables,303221000.0,360753000.0,291811000.0,201508000.0,
Total Tax Payable,130006000.0,144021000.0,117013000.0,99916000.0,
Accounts Payable,173215000.0,216732000.0,174798000.0,101592000.0,
Total Assets,44012166000.0,37893233000.0,34910325000.0,32483642000.0,
Total Non Current Assets,39119178000.0,34817086000.0,32325793000.0,29046130000.0,
Investments And Advances,1636531000.0,1499790000.0,1039043000.0,946234000.0,
Long Term Equity Investment,1636531000.0,1499790000.0,1039043000.0,946234000.0,
Investment Properties,37063357000.0,32925033000.0,30695633000.0,27565709000.0,
Goodwill And Other Intangible Assets,68321000.0,68321000.0,68321000.0,68321000.0,
Other Intangible Assets,2166470000.0,1945458000.0,1789628000.0,1500030000.0,
Goodwill,68321000.0,68321000.0,68321000.0,68321000.0,
Net PPE,350969000.0,323942000.0,522796000.0,465866000.0,
Gross PPE,350969000.0,323942000.0,522796000.0,465866000.0,
Leases,350969000.0,323942000.0,522796000.0,465866000.0,
Other Properties,,,,,536433000.0
Properties,0.0,0.0,0.0,0.0,
Current Assets,4892988000.0,3076147000.0,2584532000.0,3437512000.0,
Restricted Cash,82437000.0,90611000.0,77490000.0,475997000.0,
Receivables,2816905000.0,2353855000.0,2237777000.0,1416469000.0,
Receivables Adjustments Allowances,,,,,-42376000.0
Other Receivables,,,,,757748000.0
Loans Receivable,1361587000.0,890844000.0,1068681000.0,443372000.0,
Accounts Receivable,1455318000.0,1463011000.0,1169096000.0,973097000.0,
Cash Cash Equivalents And Short Term Investments,1993646000.0,631681000.0,269265000.0,1545046000.0,
Cash And Cash Equivalents,1993646000.0,631681000.0,269265000.0,1545046000.0,
