,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,118846000.0,117472000.0,117163000.0,116125000.0
Share Issued,118846000.0,117472000.0,117163000.0,116125000.0
Net Debt,1407682000.0,1078446000.0,1112939000.0,729856000.0
Total Debt,1888977000.0,1540203000.0,1648270000.0,1220337000.0
Tangible Book Value,-1622470000.0,-440338000.0,-532386000.0,-425108000.0
Invested Capital,4373075000.0,3646662000.0,3477939000.0,2443562000.0
Working Capital,-393819000.0,276399000.0,293728000.0,152687000.0
Net Tangible Assets,-1622470000.0,-440338000.0,-532386000.0,-425108000.0
Capital Lease Obligations,193192000.0,189575000.0,208799000.0,215023000.0
Common Stock Equity,2677290000.0,2296034000.0,2038468000.0,1438248000.0
Total Capitalization,4363700000.0,3646662000.0,3477939000.0,2443562000.0
Total Equity Gross Minority Interest,2677290000.0,2296034000.0,2038468000.0,1438248000.0
Stockholders Equity,2677290000.0,2296034000.0,2038468000.0,1438248000.0
Gains Losses Not Affecting Retained Earnings,-118080000.0,-153458000.0,-95864000.0,-103374000.0
Other Equity Adjustments,-118080000.0,-153458000.0,-95864000.0,-103374000.0
Retained Earnings,973277000.0,727737000.0,414656000.0,-62267000.0
Additional Paid In Capital,1820905000.0,1720580000.0,1718504000.0,1602728000.0
Capital Stock,1188000.0,1175000.0,1172000.0,1161000.0
Common Stock,1188000.0,1175000.0,1172000.0,1161000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3611552000.0,2391234000.0,2469092000.0,1944490000.0
Total Non Current Liabilities Net Minority Interest,1940367000.0,1598976000.0,1689810000.0,1263730000.0
Other Non Current Liabilities,39806000.0,35827000.0,49693000.0,55936000.0
Non Current Deferred Liabilities,45696000.0,44948000.0,19711000.0,22092000.0
Non Current Deferred Revenue,16188000.0,16552000.0,15546000.0,9661000.0
Non Current Deferred Taxes Liabilities,29508000.0,28396000.0,4165000.0,12431000.0
Long Term Debt And Capital Lease Obligation,1854865000.0,1518201000.0,1620406000.0,1185702000.0
Long Term Capital Lease Obligation,168455000.0,167573000.0,180935000.0,180388000.0
Long Term Debt,1686410000.0,1350628000.0,1439471000.0,1005314000.0
Current Liabilities,1671185000.0,792258000.0,779282000.0,680760000.0
Current Deferred Liabilities,1285402000.0,503781000.0,482131000.0,416804000.0
Current Deferred Revenue,665362000.0,503781000.0,482131000.0,416804000.0
Current Debt And Capital Lease Obligation,34112000.0,22002000.0,27864000.0,34635000.0
Current Capital Lease Obligation,24737000.0,22002000.0,27864000.0,34635000.0
Current Debt,9375000.0,,,
Other Current Borrowings,9375000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,160431000.0,104022000.0,117784000.0,101087000.0
Payables And Accrued Expenses,191240000.0,162453000.0,151503000.0,128234000.0
Current Accrued Expenses,132841000.0,117158000.0,113067000.0,96313000.0
Payables,58399000.0,45295000.0,38436000.0,31921000.0
Total Tax Payable,14919000.0,5142000.0,5055000.0,7011000.0
Income Tax Payable,14919000.0,5142000.0,5055000.0,7011000.0
Accounts Payable,43480000.0,40153000.0,33381000.0,24910000.0
Total Assets,6288842000.0,4687268000.0,4507560000.0,3382738000.0
Total Non Current Assets,5011476000.0,3618611000.0,3434550000.0,2549291000.0
Other Non Current Assets,356978000.0,390267000.0,313333000.0,212570000.0
Non Current Deferred Assets,123319000.0,256091000.0,297789000.0,190963000.0
Non Current Deferred Taxes Assets,123319000.0,256091000.0,297789000.0,190963000.0
Investments And Advances,,,0.0,30970000.0
Investmentin Financial Assets,,,0.0,30970000.0
Available For Sale Securities,,,,30970000.0
Goodwill And Other Intangible Assets,4299760000.0,2736372000.0,2570854000.0,1863356000.0
Other Intangible Assets,941249000.0,382718000.0,378967000.0,237570000.0
Goodwill,3358511000.0,2353654000.0,2191887000.0,1625786000.0
Net PPE,231419000.0,235881000.0,252574000.0,251432000.0
Accumulated Depreciation,-313399000.0,-391788000.0,-377994000.0,-359027000.0
Gross PPE,544818000.0,627669000.0,630568000.0,610459000.0
Leases,77703000.0,95383000.0,94959000.0,99883000.0
Other Properties,143028000.0,137780000.0,152337000.0,149933000.0
Machinery Furniture Equipment,324087000.0,394506000.0,383272000.0,360643000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1277366000.0,1068657000.0,1073010000.0,833447000.0
Other Current Assets,81849000.0,71065000.0,135415000.0,45231000.0
Prepaid Assets,96016000.0,88854000.0,69991000.0,69408000.0
Receivables,811398000.0,636556000.0,541072000.0,415221000.0
Accounts Receivable,811398000.0,636556000.0,541072000.0,415221000.0
Allowance For Doubtful Accounts Receivable,-429000.0,-362000.0,-304000.0,-543000.0
Gross Accounts Receivable,811827000.0,636918000.0,541376000.0,415764000.0
Cash Cash Equivalents And Short Term Investments,288103000.0,272182000.0,326532000.0,303587000.0
Other Short Term Investments,,,0.0,28129000.0
Cash And Cash Equivalents,288103000.0,272182000.0,326532000.0,275458000.0
