,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,19000000.0,19000000.0,19000000.0,19000000.0
Ordinary Shares Number,1830000000.0,1781000000.0,1818000000.0,1807063365.0
Share Issued,1849000000.0,1800000000.0,1837000000.0,1826063365.0
Net Debt,32249000000.0,36754000000.0,38447000000.0,40714000000.0
Total Debt,49895000000.0,51608000000.0,57635000000.0,61539000000.0
Tangible Book Value,9149000000.0,2274000000.0,-6633000000.0,-13279000000.0
Invested Capital,145708000000.0,143377000000.0,142959000000.0,142211000000.0
Working Capital,1624000000.0,25000000.0,2580000000.0,8623000000.0
Net Tangible Assets,9149000000.0,2274000000.0,-6633000000.0,-13279000000.0
Capital Lease Obligations,3464000000.0,3239000000.0,3229000000.0,2911000000.0
Common Stock Equity,99277000000.0,95008000000.0,88553000000.0,83583000000.0
Total Capitalization,141378000000.0,140307000000.0,137093000000.0,136500000000.0
Total Equity Gross Minority Interest,113012000000.0,108378000000.0,102224000000.0,97512000000.0
Minority Interest,13735000000.0,13370000000.0,13671000000.0,13929000000.0
Stockholders Equity,99277000000.0,95008000000.0,88553000000.0,83583000000.0
Gains Losses Not Affecting Retained Earnings,-3292000000.0,-4119000000.0,-6440000000.0,-8322000000.0
Other Equity Adjustments,-3292000000.0,-4119000000.0,-6440000000.0,-8322000000.0
Treasury Stock,907000000.0,907000000.0,907000000.0,907000000.0
Retained Earnings,46093000000.0,43636000000.0,40429000000.0,38315000000.0
Capital Stock,57383000000.0,56398000000.0,55471000000.0,54497000000.0
Common Stock,57383000000.0,56398000000.0,55471000000.0,54497000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,92567000000.0,95253000000.0,101385000000.0,104037000000.0
Total Non Current Liabilities Net Minority Interest,61428000000.0,66180000000.0,70308000000.0,77409000000.0
Other Non Current Liabilities,8605000000.0,9279000000.0,7161000000.0,7842000000.0
Preferred Securities Outside Stock Equity,,,9213000000.0,9249000000.0
Employee Benefits,,1940000000.0,4132000000.0,6451000000.0
Non Current Pension And Other Postretirement Benefit Plans,,1940000000.0,4132000000.0,6451000000.0
Non Current Deferred Liabilities,7258000000.0,8363000000.0,7246000000.0,7288000000.0
Non Current Deferred Taxes Liabilities,7258000000.0,8363000000.0,7246000000.0,7288000000.0
Long Term Debt And Capital Lease Obligation,45565000000.0,48538000000.0,51769000000.0,55828000000.0
Long Term Capital Lease Obligation,3464000000.0,3239000000.0,3229000000.0,2911000000.0
Long Term Debt,42101000000.0,45299000000.0,48540000000.0,52917000000.0
Current Liabilities,31139000000.0,29073000000.0,31077000000.0,26628000000.0
Other Current Liabilities,6138000000.0,5790000000.0,4317000000.0,4116000000.0
Current Deferred Liabilities,6138000000.0,5790000000.0,4317000000.0,4116000000.0
Current Deferred Revenue,6138000000.0,5790000000.0,4317000000.0,4116000000.0
Current Debt And Capital Lease Obligation,4330000000.0,3070000000.0,5866000000.0,5711000000.0
Current Debt,4330000000.0,3070000000.0,5866000000.0,5711000000.0
Payables And Accrued Expenses,20671000000.0,20213000000.0,20894000000.0,16801000000.0
Current Accrued Expenses,3270000000.0,3630000000.0,4537000000.0,3618000000.0
Payables,17401000000.0,16583000000.0,16357000000.0,13183000000.0
Total Tax Payable,2276000000.0,378000000.0,,
Income Tax Payable,2276000000.0,378000000.0,,
Accounts Payable,15125000000.0,16205000000.0,16357000000.0,13183000000.0
Total Assets,205579000000.0,203631000000.0,203609000000.0,201549000000.0
Total Non Current Assets,172816000000.0,174533000000.0,169952000000.0,166298000000.0
Other Non Current Assets,11076000000.0,9208000000.0,8658000000.0,8433000000.0
Non Current Deferred Assets,33591000000.0,35777000000.0,29549000000.0,25022000000.0
Investments And Advances,3080000000.0,3218000000.0,3935000000.0,3903000000.0
Investmentin Financial Assets,392000000.0,540000000.0,1297000000.0,1271000000.0
Long Term Equity Investment,2688000000.0,2678000000.0,2638000000.0,2632000000.0
Goodwill And Other Intangible Assets,90128000000.0,92734000000.0,95186000000.0,96862000000.0
Other Intangible Assets,13061000000.0,14837000000.0,17115000000.0,19173000000.0
Goodwill,77067000000.0,77897000000.0,78071000000.0,77689000000.0
Net PPE,34941000000.0,33596000000.0,32624000000.0,32078000000.0
Accumulated Depreciation,-42610000000.0,-39356000000.0,-37920000000.0,-35517000000.0
Gross PPE,77551000000.0,72952000000.0,70544000000.0,67595000000.0
Leases,1058000000.0,1037000000.0,1058000000.0,
Construction In Progress,6285000000.0,4814000000.0,4521000000.0,4449000000.0
Other Properties,35255000000.0,33795000000.0,32765000000.0,62111000000.0
Machinery Furniture Equipment,26358000000.0,24409000000.0,24008000000.0,
Buildings And Improvements,,,64892000000.0,62111000000.0
Land And Improvements,8595000000.0,8897000000.0,8192000000.0,1035000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,32763000000.0,29098000000.0,33657000000.0,35251000000.0
Other Current Assets,1286000000.0,1199000000.0,817000000.0,875000000.0
Prepaid Assets,3002000000.0,1890000000.0,2183000000.0,2171000000.0
Inventory,1963000000.0,1742000000.0,1331000000.0,1583000000.0
Receivables,12330000000.0,12652000000.0,13367000000.0,12708000000.0
Receivables Adjustments Allowances,-115000000.0,-158000000.0,-170000000.0,-426000000.0
Other Receivables,2266000000.0,1999000000.0,2360000000.0,1835000000.0
Accounts Receivable,10179000000.0,10811000000.0,11177000000.0,11299000000.0
Cash Cash Equivalents And Short Term Investments,14182000000.0,11615000000.0,15959000000.0,17914000000.0
Cash And Cash Equivalents,14182000000.0,11615000000.0,15959000000.0,17914000000.0
