,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-27120000.0,-36050000.0,-52380000.0,-49082706.766917
Tax Rate For Calcs,0.24,0.35,0.27,0.360902
Normalized EBITDA,4164000000.0,5188000000.0,5142000000.0,4455000000.0
Total Unusual Items,-113000000.0,-103000000.0,-194000000.0,-136000000.0
Total Unusual Items Excluding Goodwill,-113000000.0,-103000000.0,-194000000.0,-136000000.0
Net Income From Continuing Operation Net Minority Interest,499000000.0,604000000.0,315000000.0,158000000.0
Reconciled Depreciation,2675000000.0,3846000000.0,4015000000.0,3714000000.0
Reconciled Cost Of Revenue,6145000000.0,6216000000.0,5990000000.0,8348000000.0
EBITDA,4051000000.0,5085000000.0,4948000000.0,4319000000.0
EBIT,1376000000.0,1239000000.0,933000000.0,605000000.0
Net Interest Income,-621000000.0,-281000000.0,-212000000.0,-334000000.0
Interest Expense,713000000.0,298000000.0,214000000.0,339000000.0
Interest Income,92000000.0,17000000.0,2000000.0,5000000.0
Normalized Income,584880000.0,670950000.0,456620000.0,244917293.233083
Net Income From Continuing And Discontinued Operation,-6654000000.0,-16720000000.0,417000000.0,158000000.0
Total Expenses,8241000000.0,8398000000.0,8105000000.0,11864000000.0
Total Operating Income As Reported,1467000000.0,1218000000.0,1040000000.0,552000000.0
Diluted Average Shares,591000000.0,604000000.0,621000000.0,627000000.0
Basic Average Shares,591000000.0,604000000.0,616000000.0,619000000.0
Diluted EPS,-11.26,-27.68,0.67,0.25
Basic EPS,-11.26,-27.68,0.68,0.26
Diluted NI Availto Com Stockholders,-6654000000.0,-16720000000.0,417000000.0,158000000.0
Net Income Common Stockholders,-6654000000.0,-16720000000.0,417000000.0,158000000.0
Net Income,-6654000000.0,-16720000000.0,417000000.0,158000000.0
Minority Interests,-7000000.0,-12000000.0,-7000000.0,-6000000.0
Net Income Including Noncontrolling Interests,-6647000000.0,-16708000000.0,424000000.0,164000000.0
Net Income Discontinuous Operations,-7153000000.0,-17324000000.0,102000000.0,
Net Income Continuous Operations,506000000.0,616000000.0,322000000.0,164000000.0
Earnings From Equity Interest Net Of Tax,0.0,0.0,6000000.0,-6000000.0
Tax Provision,157000000.0,325000000.0,403000000.0,96000000.0
Pretax Income,663000000.0,941000000.0,719000000.0,266000000.0
Other Income Expense,-296000000.0,-99000000.0,-303000000.0,-88000000.0
Other Non Operating Income Expenses,-183000000.0,4000000.0,-109000000.0,48000000.0
Special Income Charges,-113000000.0,-103000000.0,-194000000.0,-136000000.0
Impairment Of Capital Assets,113000000.0,103000000.0,194000000.0,136000000.0
Net Non Operating Interest Income Expense,-621000000.0,-281000000.0,-212000000.0,-334000000.0
Interest Expense Non Operating,713000000.0,298000000.0,214000000.0,339000000.0
Interest Income Non Operating,92000000.0,17000000.0,2000000.0,5000000.0
Operating Income,1580000000.0,1321000000.0,1234000000.0,688000000.0
Operating Expense,2096000000.0,2182000000.0,2115000000.0,3516000000.0
Selling General And Administration,2096000000.0,2182000000.0,2115000000.0,3516000000.0
Gross Profit,3676000000.0,3503000000.0,3349000000.0,4204000000.0
Cost Of Revenue,6145000000.0,6216000000.0,5990000000.0,8348000000.0
Total Revenue,9821000000.0,9719000000.0,9339000000.0,12552000000.0
Operating Revenue,9821000000.0,9719000000.0,9339000000.0,12552000000.0
