,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,-138600000.0,-154284000.0,267784000.0,-64944000.0
Tax Rate For Calcs,0.21,0.276,0.136,0.123
Normalized EBITDA,4995000000.0,6022000000.0,6638000000.0,4767000000.0
Total Unusual Items,-660000000.0,-559000000.0,1969000000.0,-528000000.0
Total Unusual Items Excluding Goodwill,-660000000.0,-559000000.0,1969000000.0,-528000000.0
Net Income From Continuing Operation Net Minority Interest,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Reconciled Depreciation,850000000.0,780000000.0,785000000.0,789000000.0
Reconciled Cost Of Revenue,41710000000.0,50095000000.0,49422000000.0,45541000000.0
EBITDA,4335000000.0,5463000000.0,8607000000.0,4239000000.0
EBIT,3485000000.0,4683000000.0,7822000000.0,3450000000.0
Net Interest Income,-548000000.0,-359000000.0,-254000000.0,-239000000.0
Interest Expense,548000000.0,359000000.0,254000000.0,239000000.0
Normalized Income,3784400000.0,3536716000.0,4839784000.0,3278056000.0
Net Income From Continuing And Discontinued Operation,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Total Expenses,49495000000.0,57793000000.0,57782000000.0,52707000000.0
Total Operating Income As Reported,3456000000.0,4559000000.0,5359000000.0,3442000000.0
Diluted Average Shares,1000000000.0,1050000000.0,1220000000.0,1420000000.0
Basic Average Shares,992000000.0,1038000000.0,1208000000.0,1413000000.0
Diluted EPS,3.26,3.05,5.33,2.0
Basic EPS,3.29,3.09,5.38,2.01
Diluted NI Availto Com Stockholders,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Net Income Common Stockholders,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Net Income,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Net Income Including Noncontrolling Interests,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Net Income Continuous Operations,3263000000.0,3132000000.0,6541000000.0,2815000000.0
Tax Provision,-326000000.0,1192000000.0,1027000000.0,396000000.0
Pretax Income,2937000000.0,4324000000.0,7568000000.0,3211000000.0
Other Income Expense,-738000000.0,-434000000.0,2144000000.0,-481000000.0
Other Non Operating Income Expenses,-78000000.0,125000000.0,175000000.0,47000000.0
Special Income Charges,-660000000.0,-559000000.0,1969000000.0,-528000000.0
Other Special Charges,-107000000.0,,-2288000000.0,40000000.0
Restructuring And Mergern Acquisition,767000000.0,559000000.0,319000000.0,488000000.0
Net Non Operating Interest Income Expense,-548000000.0,-359000000.0,-254000000.0,-239000000.0
Interest Expense Non Operating,548000000.0,359000000.0,254000000.0,239000000.0
Operating Income,4223000000.0,5117000000.0,5678000000.0,3931000000.0
Operating Expense,7285000000.0,7146000000.0,7729000000.0,6490000000.0
Other Taxes,0.0,1000000.0,0.0,-1000000.0
Depreciation Amortization Depletion Income Statement,350000000.0,228000000.0,154000000.0,113000000.0
Depreciation And Amortization In Income Statement,350000000.0,228000000.0,154000000.0,113000000.0
Amortization,350000000.0,228000000.0,154000000.0,113000000.0
Amortization Of Intangibles Income Statement,350000000.0,228000000.0,154000000.0,113000000.0
Research And Development,1578000000.0,1653000000.0,1848000000.0,1477000000.0
Selling General And Administration,5357000000.0,5264000000.0,5727000000.0,4901000000.0
Selling And Marketing Expense,,5264000000.0,5741000000.0,4901000000.0
General And Administrative Expense,,5264000000.0,5741000000.0,4901000000.0
Other Gand A,,5264000000.0,5741000000.0,4901000000.0
Salaries And Wages,,0.0,-37000000.0,214000000.0
Gross Profit,11508000000.0,12263000000.0,13407000000.0,10421000000.0
Cost Of Revenue,42210000000.0,50647000000.0,50053000000.0,46217000000.0
Total Revenue,53718000000.0,62910000000.0,63460000000.0,56638000000.0
Operating Revenue,53718000000.0,62910000000.0,63460000000.0,56638000000.0
