,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2496000.0,-101218000.0,-18675000.0,-84804000.0
Tax Rate For Calcs,0.208,0.221,0.225,0.191
Normalized EBITDA,9112000000.0,8455000000.0,8884000000.0,7817000000.0
Total Unusual Items,-12000000.0,-458000000.0,-83000000.0,-444000000.0
Total Unusual Items Excluding Goodwill,-12000000.0,-458000000.0,-83000000.0,-444000000.0
Net Income From Continuing Operation Net Minority Interest,5658000000.0,4966000000.0,5542000000.0,4779000000.0
Reconciled Depreciation,1176000000.0,1204000000.0,1223000000.0,1002000000.0
Reconciled Cost Of Revenue,22995000000.0,22347000000.0,22061000000.0,22169000000.0
EBITDA,9100000000.0,7997000000.0,8801000000.0,7373000000.0
EBIT,7924000000.0,6793000000.0,7578000000.0,6371000000.0
Net Interest Income,-444000000.0,-276000000.0,-241000000.0,-252000000.0
Interest Expense,765000000.0,414000000.0,343000000.0,359000000.0
Interest Income,321000000.0,138000000.0,102000000.0,107000000.0
Normalized Income,5667504000.0,5322782000.0,5606325000.0,5138196000.0
Net Income From Continuing And Discontinued Operation,5658000000.0,4966000000.0,5542000000.0,4779000000.0
Total Expenses,29108000000.0,28396000000.0,26919000000.0,25983000000.0
Diluted Average Shares,668200000.0,683100000.0,700400000.0,711200000.0
Basic Average Shares,663000000.0,677100000.0,692300000.0,704100000.0
Diluted EPS,8.47,7.27,7.91,6.72
Basic EPS,8.53,7.33,8.01,6.79
Diluted NI Availto Com Stockholders,5658000000.0,4966000000.0,5542000000.0,4779000000.0
Net Income Common Stockholders,5658000000.0,4966000000.0,5542000000.0,4779000000.0
Net Income,5658000000.0,4966000000.0,5542000000.0,4779000000.0
Minority Interests,-14000000.0,-1000000.0,-68000000.0,-86000000.0
Net Income Including Noncontrolling Interests,5672000000.0,4967000000.0,5610000000.0,4865000000.0
Net Income Continuous Operations,5672000000.0,4967000000.0,5610000000.0,4865000000.0
Tax Provision,1487000000.0,1412000000.0,1625000000.0,1147000000.0
Pretax Income,7159000000.0,6379000000.0,7235000000.0,6012000000.0
Other Income Expense,49000000.0,-415000000.0,3000000.0,-390000000.0
Other Non Operating Income Expenses,-39000000.0,-18000000.0,19000000.0,-12000000.0
Special Income Charges,-3000000.0,-410000000.0,-58000000.0,-512000000.0
Gain On Sale Of Business,5000000.0,22000000.0,102000000.0,-3000000.0
Other Special Charges,-3000000.0,90000000.0,160000000.0,509000000.0
Restructuring And Mergern Acquisition,11000000.0,342000000.0,0.0,0.0
Earnings From Equity Interest,100000000.0,61000000.0,67000000.0,66000000.0
Gain On Sale Of Security,-9000000.0,-48000000.0,-25000000.0,68000000.0
Net Non Operating Interest Income Expense,-444000000.0,-276000000.0,-241000000.0,-252000000.0
Interest Expense Non Operating,765000000.0,414000000.0,343000000.0,359000000.0
Interest Income Non Operating,321000000.0,138000000.0,102000000.0,107000000.0
Operating Income,7554000000.0,7070000000.0,7473000000.0,6654000000.0
Operating Expense,6113000000.0,6049000000.0,4858000000.0,3814000000.0
Research And Development,1456000000.0,1478000000.0,1333000000.0,
Selling General And Administration,4657000000.0,4571000000.0,3525000000.0,3814000000.0
General And Administrative Expense,4657000000.0,4571000000.0,3525000000.0,3814000000.0
Other Gand A,5127000000.0,5214000000.0,4798000000.0,4772000000.0
Salaries And Wages,-470000000.0,-643000000.0,-1273000000.0,-958000000.0
Gross Profit,13667000000.0,13119000000.0,12331000000.0,10468000000.0
Cost Of Revenue,22995000000.0,22347000000.0,22061000000.0,22169000000.0
Total Revenue,36662000000.0,35466000000.0,34392000000.0,32637000000.0
Operating Revenue,36662000000.0,35466000000.0,34392000000.0,32637000000.0
