,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,4155500000.0,413600000.0,267000000.0,1134800000.0
Repurchase Of Capital Stock,-1234600000.0,-1193500000.0,-926900000.0,-398600000.0
Repayment Of Debt,-1823900000.0,-3801200000.0,-826300000.0,-1682900000.0
Issuance Of Debt,762300000.0,4373700000.0,1903600000.0,2589800000.0
Issuance Of Capital Stock,0.0,1700000.0,33500000.0,0.0
Capital Expenditure,-148600000.0,-148200000.0,-267400000.0,-286800000.0
Income Tax Paid Supplemental Data,1442000000.0,1701100000.0,1137800000.0,581300000.0
End Cash Position,3900100000.0,2572900000.0,3237200000.0,3040100000.0
Beginning Cash Position,2572900000.0,3237200000.0,3040100000.0,1514000000.0
Changes In Cash,1327200000.0,-664300000.0,197100000.0,1526100000.0
Financing Cash Flow,-2666700000.0,-811200000.0,-85100000.0,270600000.0
Cash Flow From Continuing Financing Activities,-2666700000.0,-811200000.0,-85100000.0,270600000.0
Net Other Financing Charges,-54800000.0,91400000.0,-2400000.0,-5100000.0
Proceeds From Stock Option Exercised,25500000.0,33200000.0,22700000.0,23400000.0
Cash Dividends Paid,-341200000.0,-316500000.0,-289300000.0,-256000000.0
Common Stock Dividend Paid,,,,-256000000.0
Net Common Stock Issuance,-1234600000.0,-1191800000.0,-893400000.0,-398600000.0
Common Stock Payments,-1234600000.0,-1193500000.0,-926900000.0,-398600000.0
Common Stock Issuance,0.0,1700000.0,33500000.0,0.0
Net Issuance Payments Of Debt,-1061600000.0,572500000.0,1077300000.0,906900000.0
Net Long Term Debt Issuance,-1061600000.0,572500000.0,1077300000.0,906900000.0
Long Term Debt Payments,-1823900000.0,-3801200000.0,-826300000.0,-1682900000.0
Long Term Debt Issuance,762300000.0,4373700000.0,1903600000.0,2589800000.0
Investing Cash Flow,-310200000.0,-414900000.0,-252200000.0,-166100000.0
Cash Flow From Continuing Investing Activities,-310200000.0,-414900000.0,-252200000.0,-166100000.0
Net Other Investing Changes,51300000.0,4800000.0,39700000.0,130400000.0
Net Investment Purchase And Sale,,,,0.0
Sale Of Investment,,,,0.0
Net Investment Properties Purchase And Sale,,,,-190300000.0
Purchase Of Investment Properties,,,,-190300000.0
Net Business Purchase And Sale,-212900000.0,-271500000.0,-24500000.0,-9700000.0
Sale Of Business,,,,4300000.0
Purchase Of Business,-212900000.0,-271500000.0,-24500000.0,-9700000.0
Net PPE Purchase And Sale,,,,-96500000.0
Purchase Of PPE,,,,-96500000.0
Capital Expenditure Reported,-148600000.0,-148200000.0,-267400000.0,-286800000.0
Operating Cash Flow,4304100000.0,561800000.0,534400000.0,1421600000.0
Cash Flow From Continuing Operating Activities,4304100000.0,561800000.0,534400000.0,1421600000.0
Dividend Received Cfo,,,,0.0
Change In Working Capital,-728300000.0,-5619800000.0,-3853000000.0,-1105700000.0
Change In Other Working Capital,,,,-607700000.0
Change In Other Current Assets,-110100000.0,-1470300000.0,-939000000.0,-608400000.0
Change In Payables And Accrued Expense,-101800000.0,1035500000.0,845100000.0,566200000.0
Change In Payable,,1035500000.0,845100000.0,566200000.0
Change In Account Payable,,1035500000.0,845100000.0,566200000.0
Change In Inventory,-516400000.0,-5185000000.0,-3759100000.0,-1063500000.0
Other Non Cash Items,,,8200000.0,10200000.0
Stock Based Compensation,111200000.0,105100000.0,91400000.0,77800000.0
Deferred Tax,-45900000.0,29100000.0,-10000000.0,14100000.0
Deferred Income Tax,-45900000.0,29100000.0,-10000000.0,14100000.0
Depreciation Amortization Depletion,91600000.0,81400000.0,82100000.0,90600000.0
Depreciation And Amortization,91600000.0,81400000.0,82100000.0,90600000.0
Operating Gains Losses,80300000.0,70400000.0,32700000.0,-35700000.0
Earnings Losses From Equity Investments,,,-1000000.0,-700000.0
Gain Loss On Investment Securities,80300000.0,70400000.0,28600000.0,23800000.0
Net Income From Continuing Operations,4795200000.0,5895600000.0,4191200000.0,2380500000.0
