,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-145824000.0,-168064000.0,-630000000.0,-920430000.0
Tax Rate For Calcs,0.217,0.202,0.4,0.27
Normalized EBITDA,6178000000.0,5652000000.0,6240000000.0,6802000000.0
Total Unusual Items,-672000000.0,-832000000.0,-1575000000.0,-3409000000.0
Total Unusual Items Excluding Goodwill,-672000000.0,-832000000.0,-1575000000.0,-3409000000.0
Net Income From Continuing Operation Net Minority Interest,2855000000.0,2363000000.0,1012000000.0,356000000.0
Reconciled Depreciation,961000000.0,933000000.0,910000000.0,969000000.0
Reconciled Cost Of Revenue,17714000000.0,18363000000.0,17360000000.0,17008000000.0
EBITDA,5506000000.0,4820000000.0,4665000000.0,3393000000.0
EBIT,4545000000.0,3887000000.0,3755000000.0,2424000000.0
Net Interest Income,-872000000.0,-894000000.0,-2032000000.0,-1367000000.0
Interest Expense,912000000.0,921000000.0,2047000000.0,1394000000.0
Interest Income,40000000.0,27000000.0,15000000.0,27000000.0
Normalized Income,3381176000.0,3026936000.0,1957000000.0,2844570000.0
Net Income From Continuing And Discontinued Operation,2855000000.0,2363000000.0,1012000000.0,356000000.0
Total Expenses,21459000000.0,21789000000.0,20727000000.0,20335000000.0
Total Operating Income As Reported,4572000000.0,3634000000.0,3460000000.0,2128000000.0
Diluted Average Shares,1235000000.0,1235000000.0,1224000000.0,1228000000.0
Basic Average Shares,1227000000.0,1226000000.0,1224000000.0,1223000000.0
Diluted EPS,2.31,1.91,0.82,0.29
Basic EPS,2.33,1.93,0.83,0.29
Diluted NI Availto Com Stockholders,2855000000.0,2363000000.0,1012000000.0,356000000.0
Net Income Common Stockholders,2855000000.0,2363000000.0,1012000000.0,356000000.0
Net Income,2855000000.0,2363000000.0,1012000000.0,356000000.0
Minority Interests,9000000.0,-5000000.0,-12000000.0,-5000000.0
Net Income Including Noncontrolling Interests,2846000000.0,2368000000.0,1024000000.0,361000000.0
Net Income Continuous Operations,2846000000.0,2368000000.0,1024000000.0,361000000.0
Tax Provision,787000000.0,598000000.0,684000000.0,669000000.0
Pretax Income,3633000000.0,2966000000.0,1708000000.0,1030000000.0
Other Income Expense,-676000000.0,-836000000.0,-1575000000.0,-3453000000.0
Other Non Operating Income Expenses,-4000000.0,-4000000.0,7000000.0,-44000000.0
Special Income Charges,-658000000.0,-888000000.0,-1590000000.0,-3401000000.0
Gain On Sale Of Business,4000000.0,25000000.0,44000000.0,-2000000.0
Impairment Of Capital Assets,662000000.0,913000000.0,1634000000.0,3399000000.0
Gain On Sale Of Security,-14000000.0,56000000.0,15000000.0,-8000000.0
Net Non Operating Interest Income Expense,-872000000.0,-894000000.0,-2032000000.0,-1367000000.0
Interest Expense Non Operating,912000000.0,921000000.0,2047000000.0,1394000000.0
Interest Income Non Operating,40000000.0,27000000.0,15000000.0,27000000.0
Operating Income,5181000000.0,4696000000.0,5315000000.0,5850000000.0
Operating Expense,3745000000.0,3426000000.0,3367000000.0,3327000000.0
Selling General And Administration,3745000000.0,3426000000.0,3367000000.0,3327000000.0
Selling And Marketing Expense,3692000000.0,3575000000.0,3588000000.0,3650000000.0
General And Administrative Expense,3745000000.0,3426000000.0,3367000000.0,3327000000.0
Other Gand A,3692000000.0,3575000000.0,3588000000.0,3650000000.0
Salaries And Wages,53000000.0,-149000000.0,-221000000.0,-323000000.0
Gross Profit,8926000000.0,8122000000.0,8682000000.0,9177000000.0
Cost Of Revenue,17714000000.0,18363000000.0,17360000000.0,17008000000.0
Total Revenue,26640000000.0,26485000000.0,26042000000.0,26185000000.0
Operating Revenue,26640000000.0,26485000000.0,26042000000.0,26185000000.0
