,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,6063000000.0,12460000000.0,7661000000.0,901000000.0,
Repurchase Of Capital Stock,-3459000000.0,-3099000000.0,-8000000.0,-12000000.0,
Repayment Of Debt,-922000000.0,-9884000000.0,-6834000000.0,-8916000000.0,
Issuance Of Debt,900000000.0,400000000.0,0.0,6936000000.0,
Issuance Of Capital Stock,135000000.0,293000000.0,31000000.0,134000000.0,
Capital Expenditure,-6245000000.0,-4350000000.0,-2773000000.0,-3054000000.0,
Interest Paid Supplemental Data,1099000000.0,1425000000.0,1685000000.0,,
Income Tax Paid Supplemental Data,1299000000.0,2184000000.0,763000000.0,,1944000000.0
End Cash Position,1464000000.0,1026000000.0,2803000000.0,2194000000.0,
Beginning Cash Position,1026000000.0,2803000000.0,2194000000.0,3574000000.0,
Changes In Cash,438000000.0,-1777000000.0,609000000.0,-1380000000.0,
Financing Cash Flow,-4890000000.0,-13715000000.0,-8572000000.0,-4516000000.0,
Cash From Discontinued Financing Activities,0.0,0.0,-8000000.0,-8000000.0,
Cash Flow From Continuing Financing Activities,-4890000000.0,-13715000000.0,-8564000000.0,-4508000000.0,
Net Other Financing Charges,-179000000.0,-241000000.0,-914000000.0,-805000000.0,
Cash Dividends Paid,-1365000000.0,-1184000000.0,-839000000.0,-1845000000.0,
Common Stock Dividend Paid,,,,,-2624000000.0
Net Preferred Stock Issuance,-1661000000.0,0.0,0.0,,
Preferred Stock Payments,-1661000000.0,0.0,0.0,,
Net Common Stock Issuance,-1663000000.0,-2806000000.0,23000000.0,122000000.0,
Common Stock Payments,-1798000000.0,-3099000000.0,-8000000.0,-12000000.0,
Common Stock Issuance,135000000.0,293000000.0,31000000.0,134000000.0,
Net Issuance Payments Of Debt,-22000000.0,-9484000000.0,-6834000000.0,-1980000000.0,
Net Long Term Debt Issuance,-22000000.0,-9484000000.0,-6834000000.0,-1980000000.0,
Long Term Debt Payments,-922000000.0,-9884000000.0,-6834000000.0,-8916000000.0,
Long Term Debt Issuance,900000000.0,400000000.0,0.0,6936000000.0,
Investing Cash Flow,-6980000000.0,-4872000000.0,-1253000000.0,-819000000.0,
Cash From Discontinued Investing Activities,0.0,0.0,-79000000.0,-41000000.0,
Cash Flow From Continuing Investing Activities,-6980000000.0,-4872000000.0,-1174000000.0,-778000000.0,
Net Other Investing Changes,-265000000.0,-406000000.0,1193000000.0,2281000000.0,
Net Business Purchase And Sale,-470000000.0,-116000000.0,406000000.0,-5000000.0,
Purchase Of Business,,-990000000.0,-431000000.0,-114000000.0,-28088000000.0
Capital Expenditure Reported,-6245000000.0,-4350000000.0,-2773000000.0,-3054000000.0,
Operating Cash Flow,12308000000.0,16810000000.0,10434000000.0,3955000000.0,
Cash From Discontinued Operating Activities,0.0,0.0,181000000.0,113000000.0,
Cash Flow From Continuing Operating Activities,12308000000.0,16810000000.0,10253000000.0,3842000000.0,
Change In Working Capital,660000000.0,-1325000000.0,-1426000000.0,-1278000000.0,
Change In Other Working Capital,225000000.0,-185000000.0,,22000000.0,20000000.0
Change In Other Current Assets,-13000000.0,-335000000.0,-119000000.0,350000000.0,
Change In Payables And Accrued Expense,-549000000.0,-478000000.0,865000000.0,-3228000000.0,
Change In Payable,,,,-3206000000.0,378000000.0
Change In Account Payable,,,,-3228000000.0,358000000.0
Change In Tax Payable,,,,22000000.0,20000000.0
Change In Income Tax Payable,,,,22000000.0,20000000.0
Change In Inventory,-91000000.0,-230000000.0,-86000000.0,-484000000.0,
Change In Receivables,1088000000.0,-97000000.0,-2086000000.0,2062000000.0,
Other Non Cash Items,199000000.0,76000000.0,822000000.0,1764000000.0,
Asset Impairment Charge,209000000.0,0.0,304000000.0,11002000000.0,
Deferred Tax,57000000.0,-1644000000.0,46000000.0,-2517000000.0,
Deferred Income Tax,57000000.0,-1644000000.0,46000000.0,-2517000000.0,
Depreciation Amortization Depletion,6865000000.0,6926000000.0,8447000000.0,8097000000.0,
Operating Gains Losses,-378000000.0,-527000000.0,-262000000.0,1605000000.0,
Earnings Losses From Equity Investments,144000000.0,-219000000.0,-70000000.0,-61000000.0,
Gain Loss On Investment Securities,,-308000000.0,-192000000.0,1666000000.0,
Gain Loss On Sale Of Business,,-308000000.0,-192000000.0,1666000000.0,-622000000.0
Net Income From Continuing Operations,4696000000.0,13304000000.0,2322000000.0,-14831000000.0,
