,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,4048000000.0,3937000000.0,3780000000.0,3786000000.0
Ordinary Shares Number,3971000000.0,4082000000.0,4239000000.0,4233000000.0
Share Issued,8019000000.0,8019000000.0,8019000000.0,8019000000.0
Net Debt,6196000000.0,8254000000.0,39040000000.0,61596000000.0
Total Debt,41573000000.0,41193000000.0,47704000000.0,67640000000.0
Tangible Book Value,204802000000.0,195049000000.0,168577000000.0,157150000000.0
Invested Capital,242537000000.0,232943000000.0,214419000000.0,223110000000.0
Working Capital,31293000000.0,28586000000.0,2511000000.0,-11470000000.0
Net Tangible Assets,204802000000.0,195049000000.0,168577000000.0,157150000000.0
Capital Lease Obligations,3838000000.0,3299000000.0,1862000000.0,1680000000.0
Common Stock Equity,204802000000.0,195049000000.0,168577000000.0,157150000000.0
Total Capitalization,238447000000.0,232309000000.0,210143000000.0,202652000000.0
Total Equity Gross Minority Interest,212538000000.0,202473000000.0,175683000000.0,164130000000.0
Minority Interest,7736000000.0,7424000000.0,7106000000.0,6980000000.0
Stockholders Equity,204802000000.0,195049000000.0,168577000000.0,157150000000.0
Gains Losses Not Affecting Retained Earnings,-11989000000.0,-13270000000.0,-13764000000.0,-16705000000.0
Other Equity Adjustments,-11989000000.0,-13270000000.0,-13764000000.0,-16705000000.0
Treasury Stock,254917000000.0,240293000000.0,225464000000.0,225776000000.0
Retained Earnings,453927000000.0,432860000000.0,392059000000.0,383943000000.0
Capital Stock,17781000000.0,15752000000.0,15746000000.0,15688000000.0
Common Stock,17781000000.0,15752000000.0,15746000000.0,15688000000.0
Total Liabilities Net Minority Interest,163779000000.0,166594000000.0,163240000000.0,168620000000.0
Total Non Current Liabilities Net Minority Interest,98463000000.0,97549000000.0,106597000000.0,112257000000.0
Other Non Current Liabilities,24228000000.0,21733000000.0,21717000000.0,21242000000.0
Employee Benefits,10496000000.0,10045000000.0,18430000000.0,22415000000.0
Non Current Pension And Other Postretirement Benefit Plans,10496000000.0,10045000000.0,18430000000.0,22415000000.0
Dueto Related Parties Non Current,1804000000.0,2338000000.0,2857000000.0,3253000000.0
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0
Non Current Deferred Liabilities,24452000000.0,22874000000.0,20165000000.0,18165000000.0
Non Current Deferred Taxes Liabilities,24452000000.0,22874000000.0,20165000000.0,18165000000.0
Long Term Debt And Capital Lease Obligation,37483000000.0,40559000000.0,43428000000.0,47182000000.0
Long Term Capital Lease Obligation,3838000000.0,3299000000.0,1862000000.0,1680000000.0
Long Term Debt,33645000000.0,37260000000.0,41566000000.0,45502000000.0
Current Liabilities,65316000000.0,69045000000.0,56643000000.0,56363000000.0
Current Debt And Capital Lease Obligation,4090000000.0,634000000.0,4276000000.0,20458000000.0
Current Debt,4090000000.0,634000000.0,4276000000.0,20458000000.0
Other Current Borrowings,4009000000.0,181000000.0,2392000000.0,2930000000.0
Line Of Credit,6000000.0,379000000.0,276000000.0,222000000.0
Commercial Paper,75000000.0,74000000.0,1608000000.0,17306000000.0
Payables And Accrued Expenses,61226000000.0,68411000000.0,52367000000.0,35905000000.0
Payables,61226000000.0,68411000000.0,52367000000.0,35905000000.0
Other Payable,11086000000.0,11474000000.0,11362000000.0,7838000000.0
Dueto Related Parties Current,11885000000.0,14585000000.0,8885000000.0,6476000000.0
Total Tax Payable,7006000000.0,9183000000.0,5497000000.0,4092000000.0
Income Tax Payable,3189000000.0,5214000000.0,1601000000.0,684000000.0
Accounts Payable,31249000000.0,33169000000.0,26623000000.0,17499000000.0
Total Assets,376317000000.0,369067000000.0,338923000000.0,332750000000.0
Total Non Current Assets,279708000000.0,271436000000.0,279769000000.0,287857000000.0
Other Non Current Assets,17138000000.0,16951000000.0,18022000000.0,16789000000.0
Non Current Prepaid Assets,7527000000.0,8049000000.0,8326000000.0,8812000000.0
Non Current Accounts Receivable,5846000000.0,6944000000.0,5506000000.0,4788000000.0
Investments And Advances,34257000000.0,34800000000.0,31363000000.0,29915000000.0
Investmentin Financial Assets,177000000.0,278000000.0,138000000.0,143000000.0
Available For Sale Securities,177000000.0,278000000.0,138000000.0,143000000.0
Long Term Equity Investment,34080000000.0,34522000000.0,31225000000.0,29772000000.0
Net PPE,214940000000.0,204692000000.0,216552000000.0,227553000000.0
Accumulated Depreciation,-272445000000.0,-268001000000.0,-278510000000.0,-277769000000.0
Gross PPE,487385000000.0,472693000000.0,495062000000.0,505322000000.0
Other Properties,22768000000.0,18335000000.0,18014000000.0,17918000000.0
Current Assets,96609000000.0,97631000000.0,59154000000.0,44893000000.0
Other Current Assets,1906000000.0,1782000000.0,1189000000.0,1098000000.0
Restricted Cash,29000000.0,25000000.0,0.0,
Inventory,25120000000.0,24435000000.0,18780000000.0,18850000000.0
Finished Goods,20528000000.0,20434000000.0,14519000000.0,14169000000.0
Raw Materials,4592000000.0,4001000000.0,4261000000.0,4681000000.0
Receivables,38015000000.0,41749000000.0,32383000000.0,20581000000.0
Other Receivables,7719000000.0,8905000000.0,5500000000.0,4242000000.0
Accounts Receivable,30296000000.0,32844000000.0,26883000000.0,16339000000.0
Allowance For Doubtful Accounts Receivable,-170000000.0,-168000000.0,-159000000.0,-96000000.0
Gross Accounts Receivable,30466000000.0,33012000000.0,27042000000.0,16435000000.0
Cash Cash Equivalents And Short Term Investments,31539000000.0,29640000000.0,6802000000.0,4364000000.0
Cash And Cash Equivalents,31539000000.0,29640000000.0,6802000000.0,4364000000.0
