,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,381400000.0,362000000.0,357600000.0,355400000.0
Ordinary Shares Number,572000000.0,591400000.0,595800000.0,598000000.0
Share Issued,953400000.0,953400000.0,953400000.0,953400000.0
Net Debt,106000000.0,8570000000.0,4311000000.0,4171000000.0
Total Debt,8561000000.0,10686000000.0,7078000000.0,7859000000.0
Tangible Book Value,-54000000.0,-10154000000.0,-717000000.0,-797000000.0
Invested Capital,28846000000.0,20738000000.0,16548000000.0,15891000000.0
Working Capital,8787000000.0,729000000.0,2186000000.0,3021000000.0
Net Tangible Assets,-54000000.0,-10154000000.0,-717000000.0,-797000000.0
Capital Lease Obligations,404000000.0,312000000.0,413000000.0,373000000.0
Common Stock Equity,20689000000.0,10364000000.0,9883000000.0,8405000000.0
Total Capitalization,28299000000.0,18623000000.0,15676000000.0,14731000000.0
Total Equity Gross Minority Interest,26598000000.0,16316000000.0,9923000000.0,8447000000.0
Minority Interest,5909000000.0,5952000000.0,40000000.0,42000000.0
Stockholders Equity,20689000000.0,10364000000.0,9883000000.0,8405000000.0
Gains Losses Not Affecting Retained Earnings,-1253000000.0,-1485000000.0,-872000000.0,-1577000000.0
Other Equity Adjustments,-1253000000.0,-1485000000.0,,
Treasury Stock,18667000000.0,16738000000.0,16291000000.0,15920000000.0
Retained Earnings,40070000000.0,28053000000.0,26047000000.0,24955000000.0
Additional Paid In Capital,62000000.0,57000000.0,522000000.0,470000000.0
Capital Stock,477000000.0,477000000.0,477000000.0,477000000.0
Common Stock,477000000.0,477000000.0,477000000.0,477000000.0
Total Liabilities Net Minority Interest,16148000000.0,19356000000.0,14792000000.0,14435000000.0
Total Non Current Liabilities Net Minority Interest,11116000000.0,11579000000.0,8546000000.0,8650000000.0
Other Non Current Liabilities,708000000.0,700000000.0,953000000.0,921000000.0
Liabilities Heldfor Sale Non Current,0.0,167000000.0,,
Employee Benefits,435000000.0,427000000.0,676000000.0,769000000.0
Non Current Pension And Other Postretirement Benefit Plans,435000000.0,427000000.0,676000000.0,769000000.0
Non Current Deferred Liabilities,1959000000.0,1714000000.0,711000000.0,261000000.0
Non Current Deferred Taxes Liabilities,1959000000.0,1714000000.0,711000000.0,261000000.0
Long Term Debt And Capital Lease Obligation,8014000000.0,8571000000.0,6206000000.0,6699000000.0
Long Term Capital Lease Obligation,404000000.0,312000000.0,413000000.0,373000000.0
Long Term Debt,7610000000.0,8259000000.0,5793000000.0,6326000000.0
Long Term Provisions,,,256000000.0,295000000.0
Current Liabilities,5032000000.0,7777000000.0,6246000000.0,5785000000.0
Other Current Liabilities,,1348000000.0,,
Current Debt And Capital Lease Obligation,547000000.0,2115000000.0,872000000.0,1160000000.0
Current Debt,547000000.0,2115000000.0,872000000.0,1160000000.0
Other Current Borrowings,546000000.0,516000000.0,538000000.0,322000000.0
Commercial Paper,1000000.0,1599000000.0,334000000.0,838000000.0
Payables And Accrued Expenses,4485000000.0,4314000000.0,5374000000.0,4625000000.0
Current Accrued Expenses,3210000000.0,3038000000.0,3266000000.0,2910000000.0
Payables,1275000000.0,1276000000.0,2108000000.0,1715000000.0
Accounts Payable,1275000000.0,1276000000.0,2108000000.0,1715000000.0
Total Assets,42746000000.0,35672000000.0,24715000000.0,22882000000.0
Total Non Current Assets,28927000000.0,27166000000.0,16283000000.0,14076000000.0
Other Non Current Assets,2566000000.0,4409000000.0,1945000000.0,1186000000.0
Non Current Note Receivables,3255000000.0,0.0,,
Investments And Advances,3255000000.0,0.0,,
Long Term Equity Investment,3255000000.0,0.0,,
Goodwill And Other Intangible Assets,20743000000.0,20518000000.0,10600000000.0,9202000000.0
Other Intangible Assets,6263000000.0,6572000000.0,2877000000.0,2468000000.0
Goodwill,14480000000.0,13946000000.0,7723000000.0,6734000000.0
Net PPE,2363000000.0,2239000000.0,3738000000.0,3688000000.0
Accumulated Depreciation,-3161000000.0,-3151000000.0,-5689000000.0,-5367000000.0
Gross PPE,5524000000.0,5390000000.0,9427000000.0,9055000000.0
Construction In Progress,283000000.0,390000000.0,478000000.0,463000000.0
Machinery Furniture Equipment,3228000000.0,3300000000.0,6097000000.0,5907000000.0
Buildings And Improvements,1758000000.0,1500000000.0,2493000000.0,2335000000.0
Land And Improvements,255000000.0,200000000.0,359000000.0,350000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,13819000000.0,8506000000.0,8432000000.0,8806000000.0
Other Current Assets,1244000000.0,1301000000.0,1057000000.0,761000000.0
Assets Held For Sale Current,0.0,1398000000.0,,
Inventory,2006000000.0,1742000000.0,2050000000.0,1928000000.0
Finished Goods,446000000.0,417000000.0,616000000.0,584000000.0
Raw Materials,1560000000.0,1325000000.0,1434000000.0,1344000000.0
Receivables,2518000000.0,2261000000.0,2971000000.0,2802000000.0
Accounts Receivable,2518000000.0,2261000000.0,2971000000.0,2802000000.0
Allowance For Doubtful Accounts Receivable,-100000000.0,-100000000.0,-116000000.0,-138000000.0
Gross Accounts Receivable,2618000000.0,2361000000.0,3087000000.0,2940000000.0
Cash Cash Equivalents And Short Term Investments,8051000000.0,1804000000.0,2354000000.0,3315000000.0
Cash And Cash Equivalents,8051000000.0,1804000000.0,2354000000.0,3315000000.0
