,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,292123241.0,295000000.0,302000000.0,306000000.0
Share Issued,292123241.0,295000000.0,302000000.0,306000000.0
Net Debt,1145000000.0,1716000000.0,1245000000.0,918000000.0
Total Debt,2735000000.0,2769000000.0,2729000000.0,2359000000.0
Tangible Book Value,1410000000.0,532000000.0,433000000.0,440000000.0
Invested Capital,8580000000.0,8074000000.0,8118000000.0,7232000000.0
Working Capital,2583000000.0,1917000000.0,2091000000.0,1948000000.0
Net Tangible Assets,1410000000.0,532000000.0,433000000.0,440000000.0
Common Stock Equity,5845000000.0,5305000000.0,5389000000.0,4873000000.0
Total Capitalization,8580000000.0,8038000000.0,8118000000.0,7157000000.0
Total Equity Gross Minority Interest,5845000000.0,5305000000.0,5389000000.0,4873000000.0
Stockholders Equity,5845000000.0,5305000000.0,5389000000.0,4873000000.0
Gains Losses Not Affecting Retained Earnings,-327000000.0,-347000000.0,-282000000.0,-522000000.0
Other Equity Adjustments,-327000000.0,-347000000.0,-282000000.0,-522000000.0
Retained Earnings,782000000.0,324000000.0,348000000.0,81000000.0
Additional Paid In Capital,5387000000.0,5325000000.0,5320000000.0,5311000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4918000000.0,5227000000.0,5316000000.0,4754000000.0
Total Non Current Liabilities Net Minority Interest,3315000000.0,3366000000.0,3608000000.0,3287000000.0
Other Non Current Liabilities,477000000.0,536000000.0,659000000.0,614000000.0
Employee Benefits,103000000.0,97000000.0,220000000.0,389000000.0
Non Current Pension And Other Postretirement Benefit Plans,103000000.0,97000000.0,220000000.0,389000000.0
Long Term Debt And Capital Lease Obligation,2735000000.0,2733000000.0,2729000000.0,2284000000.0
Long Term Debt,2735000000.0,2733000000.0,2729000000.0,2284000000.0
Current Liabilities,1603000000.0,1861000000.0,1708000000.0,1467000000.0
Current Deferred Liabilities,505000000.0,461000000.0,441000000.0,386000000.0
Current Deferred Revenue,505000000.0,461000000.0,441000000.0,386000000.0
Current Debt And Capital Lease Obligation,,36000000.0,,75000000.0
Current Debt,,36000000.0,,75000000.0
Commercial Paper,,,0.0,75000000.0
Pensionand Other Post Retirement Benefit Plans Current,371000000.0,455000000.0,493000000.0,367000000.0
Payables And Accrued Expenses,727000000.0,909000000.0,774000000.0,639000000.0
Current Accrued Expenses,309000000.0,329000000.0,328000000.0,285000000.0
Payables,418000000.0,580000000.0,446000000.0,354000000.0
Accounts Payable,418000000.0,580000000.0,446000000.0,354000000.0
Total Assets,10763000000.0,10532000000.0,10705000000.0,9627000000.0
Total Non Current Assets,6577000000.0,6754000000.0,6906000000.0,6212000000.0
Other Non Current Assets,708000000.0,686000000.0,820000000.0,776000000.0
Investments And Advances,164000000.0,195000000.0,185000000.0,158000000.0
Goodwill And Other Intangible Assets,4435000000.0,4773000000.0,4956000000.0,4433000000.0
Other Intangible Assets,475000000.0,821000000.0,981000000.0,831000000.0
Goodwill,3960000000.0,3952000000.0,3975000000.0,3602000000.0
Net PPE,1270000000.0,1100000000.0,945000000.0,845000000.0
Accumulated Depreciation,-1223000000.0,-1148000000.0,-1122000000.0,-1029000000.0
Gross PPE,2493000000.0,2248000000.0,2067000000.0,1874000000.0
Machinery Furniture Equipment,1024000000.0,934000000.0,859000000.0,761000000.0
Buildings And Improvements,1409000000.0,1255000000.0,1147000000.0,1055000000.0
Land And Improvements,60000000.0,59000000.0,61000000.0,58000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4186000000.0,3778000000.0,3799000000.0,3415000000.0
Other Current Assets,274000000.0,282000000.0,222000000.0,216000000.0
Inventory,1031000000.0,1038000000.0,830000000.0,720000000.0
Finished Goods,570000000.0,555000000.0,463000000.0,417000000.0
Raw Materials,461000000.0,483000000.0,367000000.0,303000000.0
Receivables,1291000000.0,1405000000.0,1172000000.0,1038000000.0
Accounts Receivable,1291000000.0,1405000000.0,1172000000.0,1038000000.0
Cash Cash Equivalents And Short Term Investments,1590000000.0,1053000000.0,1575000000.0,1441000000.0
Other Short Term Investments,,0.0,91000000.0,0.0
Cash And Cash Equivalents,1590000000.0,1053000000.0,1484000000.0,1441000000.0
