,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,246400000.0,246061744.0,246061744.0
Share Issued,246400000.0,246061744.0,246061744.0
Net Debt,1867000000.0,,
Total Debt,2777000000.0,123000000.0,135000000.0
Tangible Book Value,-1577000000.0,280000000.0,162000000.0
Invested Capital,4012000000.0,3235000000.0,3197000000.0
Working Capital,808000000.0,157000000.0,84000000.0
Net Tangible Assets,-1577000000.0,280000000.0,162000000.0
Capital Lease Obligations,148000000.0,123000000.0,135000000.0
Common Stock Equity,1383000000.0,3235000000.0,3197000000.0
Total Capitalization,4012000000.0,3235000000.0,3197000000.0
Total Equity Gross Minority Interest,1389000000.0,3240000000.0,3201000000.0
Minority Interest,6000000.0,5000000.0,4000000.0
Stockholders Equity,1383000000.0,3235000000.0,3197000000.0
Gains Losses Not Affecting Retained Earnings,-954000000.0,-954000000.0,-887000000.0
Other Equity Adjustments,-954000000.0,-954000000.0,-887000000.0
Retained Earnings,178000000.0,0.0,
Additional Paid In Capital,2157000000.0,0.0,
Capital Stock,2000000.0,4189000000.0,4084000000.0
Common Stock,2000000.0,4189000000.0,4084000000.0
Preferred Stock,0.0,0.0,
Total Liabilities Net Minority Interest,4304000000.0,1585000000.0,1639000000.0
Total Non Current Liabilities Net Minority Interest,3039000000.0,462000000.0,518000000.0
Other Non Current Liabilities,21000000.0,23000000.0,21000000.0
Employee Benefits,30000000.0,13000000.0,54000000.0
Non Current Pension And Other Postretirement Benefit Plans,30000000.0,13000000.0,54000000.0
Non Current Accrued Expenses,44000000.0,57000000.0,64000000.0
Tradeand Other Payables Non Current,185000000.0,264000000.0,265000000.0
Non Current Deferred Liabilities,15000000.0,14000000.0,13000000.0
Non Current Deferred Revenue,15000000.0,14000000.0,13000000.0
Long Term Debt And Capital Lease Obligation,2744000000.0,91000000.0,101000000.0
Long Term Capital Lease Obligation,115000000.0,91000000.0,101000000.0
Long Term Debt,2629000000.0,,
Current Liabilities,1265000000.0,1123000000.0,1121000000.0
Other Current Liabilities,264000000.0,177000000.0,158000000.0
Current Deferred Liabilities,208000000.0,192000000.0,175000000.0
Current Deferred Revenue,208000000.0,192000000.0,175000000.0
Current Debt And Capital Lease Obligation,33000000.0,32000000.0,34000000.0
Current Capital Lease Obligation,33000000.0,32000000.0,34000000.0
Pensionand Other Post Retirement Benefit Plans Current,6000000.0,5000000.0,5000000.0
Payables And Accrued Expenses,754000000.0,717000000.0,749000000.0
Current Accrued Expenses,184000000.0,211000000.0,227000000.0
Payables,570000000.0,506000000.0,522000000.0
Total Tax Payable,139000000.0,66000000.0,58000000.0
Accounts Payable,431000000.0,440000000.0,464000000.0
Total Assets,5693000000.0,4825000000.0,4840000000.0
Total Non Current Assets,3620000000.0,3545000000.0,3635000000.0
Other Non Current Assets,398000000.0,343000000.0,340000000.0
Goodwill And Other Intangible Assets,2960000000.0,2955000000.0,3035000000.0
Other Intangible Assets,427000000.0,479000000.0,533000000.0
Goodwill,2533000000.0,2476000000.0,2502000000.0
Net PPE,262000000.0,247000000.0,260000000.0
Accumulated Depreciation,-472000000.0,-460000000.0,-438000000.0
Gross PPE,734000000.0,707000000.0,698000000.0
Other Properties,26000000.0,35000000.0,33000000.0
Machinery Furniture Equipment,491000000.0,458000000.0,447000000.0
Buildings And Improvements,202000000.0,199000000.0,202000000.0
Land And Improvements,15000000.0,15000000.0,16000000.0
Properties,0.0,0.0,0.0
Current Assets,2073000000.0,1280000000.0,1205000000.0
Other Current Assets,188000000.0,119000000.0,126000000.0
Inventory,297000000.0,345000000.0,322000000.0
Finished Goods,126000000.0,145000000.0,150000000.0
Work In Process,42000000.0,51000000.0,48000000.0
Raw Materials,129000000.0,149000000.0,124000000.0
Receivables,826000000.0,816000000.0,757000000.0
Accounts Receivable,826000000.0,816000000.0,757000000.0
Allowance For Doubtful Accounts Receivable,-36000000.0,-34000000.0,
Gross Accounts Receivable,862000000.0,850000000.0,
Cash Cash Equivalents And Short Term Investments,762000000.0,0.0,
Cash And Cash Equivalents,762000000.0,0.0,
