,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,66353688.0,55219914.0,41174257.0,30741367.0
Ordinary Shares Number,334848565.0,343953023.0,356015843.0,363999982.0
Share Issued,401202253.0,399172937.0,397190100.0,394741349.0
Net Debt,1220900000.0,3526400000.0,2202000000.0,1264800000.0
Total Debt,5142600000.0,6114800000.0,5449400000.0,4320300000.0
Tangible Book Value,22521600000.0,19222200000.0,14718900000.0,11659400000.0
Invested Capital,27790700000.0,25463200000.0,20298900000.0,16123300000.0
Working Capital,29089300000.0,26607900000.0,21394400000.0,16587700000.0
Net Tangible Assets,22521600000.0,19222200000.0,14718900000.0,11659400000.0
Capital Lease Obligations,48100000.0,47900000.0,37000000.0,37000000.0
Common Stock Equity,22696200000.0,19396300000.0,14886500000.0,11840000000.0
Total Capitalization,27790700000.0,25463200000.0,20298900000.0,16123300000.0
Total Equity Gross Minority Interest,23137900000.0,19785600000.0,15216200000.0,12121500000.0
Minority Interest,441700000.0,389300000.0,329700000.0,281500000.0
Stockholders Equity,22696200000.0,19396300000.0,14886500000.0,11840000000.0
Treasury Stock,4329800000.0,3142500000.0,2036600000.0,1162600000.0
Retained Earnings,23589800000.0,19185300000.0,13644300000.0,9757800000.0
Additional Paid In Capital,3432200000.0,3349500000.0,3274800000.0,3240900000.0
Capital Stock,4000000.0,4000000.0,4000000.0,3900000.0
Common Stock,4000000.0,4000000.0,4000000.0,3900000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9444500000.0,10565500000.0,8799700000.0,6790800000.0
Total Non Current Liabilities Net Minority Interest,7361000000.0,8372600000.0,6997400000.0,5581300000.0
Other Non Current Liabilities,147600000.0,113300000.0,100400000.0,84400000.0
Derivative Product Liabilities,168500000.0,436800000.0,1700000.0,16500000.0
Employee Benefits,531000000.0,524300000.0,492100000.0,376100000.0
Non Current Deferred Liabilities,,,,93100000.0
Non Current Deferred Revenue,,,,93100000.0
Long Term Debt And Capital Lease Obligation,5142600000.0,6114800000.0,5449400000.0,4320300000.0
Long Term Capital Lease Obligation,48100000.0,47900000.0,37000000.0,37000000.0
Long Term Debt,5094500000.0,6066900000.0,5412400000.0,4283300000.0
Long Term Provisions,1371300000.0,1183400000.0,953800000.0,784000000.0
Current Liabilities,2083500000.0,2192900000.0,1802300000.0,1209500000.0
Current Deferred Liabilities,147100000.0,224200000.0,193400000.0,93100000.0
Current Deferred Revenue,147100000.0,224200000.0,193400000.0,93100000.0
Current Provisions,,,,473800000.0
Payables And Accrued Expenses,1936400000.0,1968700000.0,1608900000.0,1116400000.0
Current Accrued Expenses,387200000.0,437400000.0,292700000.0,129200000.0
Interest Payable,33600000.0,33800000.0,31500000.0,35300000.0
Payables,1549200000.0,1531300000.0,1316200000.0,987200000.0
Total Tax Payable,303000000.0,171000000.0,139200000.0,86700000.0
Income Tax Payable,233800000.0,110900000.0,88200000.0,42600000.0
Accounts Payable,1246200000.0,1360300000.0,1177000000.0,900500000.0
Total Assets,32582400000.0,30351100000.0,24015900000.0,18912300000.0
Total Non Current Assets,1409600000.0,1550300000.0,819200000.0,1115100000.0
Other Non Current Assets,399900000.0,339000000.0,41200000.0,34600000.0
Non Current Prepaid Assets,,,,719300000.0
Non Current Deferred Assets,187200000.0,141100000.0,155300000.0,144900000.0
Non Current Deferred Taxes Assets,187200000.0,141100000.0,155300000.0,144900000.0
Non Current Accounts Receivable,,,,47100000.0
Financial Assets,155900000.0,377900000.0,26600000.0,36600000.0
Investment Properties,427400000.0,373800000.0,313900000.0,614000000.0
Goodwill And Other Intangible Assets,174600000.0,174100000.0,167600000.0,180600000.0
Other Intangible Assets,11100000.0,10600000.0,4100000.0,17100000.0
Goodwill,163500000.0,163500000.0,163500000.0,163500000.0
Net PPE,64600000.0,144400000.0,114600000.0,104400000.0
Accumulated Depreciation,,,,-284400000.0
Gross PPE,64600000.0,144400000.0,114600000.0,104400000.0
Leases,,,,87200000.0
Construction In Progress,,,,232100000.0
Other Properties,64600000.0,144400000.0,114600000.0,104400000.0
Machinery Furniture Equipment,,,,257700000.0
Buildings And Improvements,,,,267400000.0
Land And Improvements,,,,52000000.0
Properties,,,,0.0
Current Assets,31172800000.0,28800800000.0,23196700000.0,17797200000.0
Assets Held For Sale Current,2519900000.0,2386000000.0,2027300000.0,1529000000.0
Restricted Cash,1886100000.0,1718100000.0,1106600000.0,694900000.0
Prepaid Assets,93000000.0,77400000.0,51600000.0,46000000.0
Inventory,22373300000.0,21655700000.0,16479100000.0,12237400000.0
Finished Goods,22373300000.0,21655700000.0,16479100000.0,12237400000.0
Work In Process,,,,5984100000.0
Receivables,426900000.0,423100000.0,321700000.0,271400000.0
Other Receivables,426900000.0,423100000.0,321700000.0,271400000.0
Cash Cash Equivalents And Short Term Investments,3873600000.0,2540500000.0,3210400000.0,3018500000.0
Cash And Cash Equivalents,3873600000.0,2540500000.0,3210400000.0,3018500000.0
